11,99,3,2,"[163, 157, 151]"
32,42,3,1,"[167, 179, 193]"
77,2,3,1,"[167, 157, 173]"
90,58,3,1,"[167, 193, 199]"
30,120,3,1,"[173, 197, 199]"
127,61,3,1,"[173, 167, 149]"
38,158,3,1,"[179, 199, 211]"
9,57,3,1,"[181, 163, 173]"
71,84,3,3,"[181, 193, 199]"
74,140,3,1,"[181, 179, 173]"
85,111,3,3,"[181, 191, 193]"
90,153,3,2,"[181, 173, 179]"
110,15,3,3,"[181, 191, 199]"
130,17,3,2,"[181, 167, 173]"
134,29,3,2,"[181, 167, 191]"
156,57,3,3,"[181, 199, 193]"
62,164,3,2,"[191, 181, 193]"
69,28,3,1,"[191, 199, 197]"
75,138,3,2,"[191, 197, 193]"
85,111,3,3,"[191, 193, 181]"
110,15,3,3,"[191, 199, 181]"
166,88,3,1,"[191, 181, 179]"
190,136,3,3,"[191, 199, 193]"
13,56,3,3,"[193, 199, 211]"
42,99,3,2,"[193, 181, 199]"
43,73,3,2,"[193, 191, 197]"
63,109,3,2,"[193, 181, 179]"
71,84,3,3,"[193, 199, 181]"
82,130,3,1,"[193, 199, 211]"
85,111,3,3,"[193, 181, 191]"
132,54,3,3,"[193, 199, 197]"
134,29,4,2,"[193, 181, 167, 191]"
150,36,3,1,"[193, 197, 179]"
156,57,3,3,"[193, 181, 199]"
157,124,3,2,"[193, 211, 197]"
190,136,3,3,"[193, 191, 199]"
92,57,3,1,"[197, 211, 223]"
132,54,3,3,"[197, 193, 199]"
171,55,3,2,"[197, 193, 173]"
0,149,3,2,"[199, 211, 241]"
13,56,3,3,"[199, 211, 193]"
14,118,3,1,"[199, 179, 197]"
39,26,3,1,"[199, 193, 191]"
40,121,3,1,"[199, 191, 179]"
71,84,3,3,"[199, 181, 193]"
88,45,3,2,"[199, 193, 191]"
110,15,3,3,"[199, 181, 191]"
117,18,3,1,"[199, 197, 223]"
129,84,3,1,"[199, 211, 193]"
132,54,3,3,"[199, 197, 193]"
135,9,3,2,"[199, 193, 167]"
136,105,3,1,"[199, 181, 157]"
156,57,3,3,"[199, 193, 181]"
190,136,3,3,"[199, 193, 191]"
13,56,3,3,"[211, 193, 199]"
54,71,3,2,"[211, 229, 251]"
69,28,3,1,"[211, 199, 197]"
81,162,3,1,"[211, 223, 199]"
86,48,3,1,"[211, 227, 229]"
98,143,3,2,"[211, 223, 229]"
195,149,3,2,"[211, 223, 229]"
26,44,3,1,"[223, 229, 233]"
115,92,3,2,"[223, 197, 199]"
137,49,3,1,"[223, 241, 229]"
173,128,3,3,"[223, 233, 239]"
181,190,3,1,"[223, 241, 227]"
192,8,3,2,"[223, 241, 227]"
77,166,3,2,"[227, 241, 257]"
18,53,3,1,"[229, 241, 257]"
60,4,3,2,"[229, 239, 251]"
77,128,3,1,"[229, 239, 211]"
84,90,3,1,"[229, 227, 211]"
105,163,3,1,"[229, 227, 211]"
149,58,3,1,"[229, 241, 239]"
199,203,3,1,"[229, 241, 251]"
128,200,3,1,"[233, 263, 277]"
173,128,3,3,"[233, 239, 223]"
1,16,3,2,"[239, 257, 251]"
19,96,3,1,"[239, 251, 229]"
28,23,3,2,"[239, 227, 229]"
86,48,4,1,"[239, 211, 227, 229]"
115,64,3,1,"[239, 229, 223]"
131,81,3,3,"[239, 251, 257]"
138,33,3,1,"[239, 227, 223]"
173,128,3,3,"[239, 223, 233]"
195,187,3,2,"[239, 229, 223]"
0,22,3,2,"[241, 211, 199]"
0,110,3,2,"[241, 211, 199]"
31,230,3,1,"[241, 257, 271]"
55,171,4,1,"[241, 263, 283, 277]"
84,90,4,1,"[241, 229, 227, 211]"
110,143,3,2,"[241, 229, 239]"
115,64,4,1,"[241, 239, 229, 223]"
122,224,3,3,"[241, 271, 263]"
179,226,3,2,"[241, 239, 251]"
211,226,3,3,"[241, 257, 251]"
3,116,3,2,"[251, 269, 277]"
5,208,3,2,"[251, 271, 263]"
30,135,3,2,"[251, 229, 223]"
77,128,3,1,"[251, 239, 211]"
92,29,3,1,"[251, 239, 241]"
94,102,3,1,"[251, 241, 257]"
131,81,3,3,"[251, 257, 239]"
132,6,3,1,"[251, 223, 197]"
140,159,3,1,"[251, 239, 241]"
148,72,3,2,"[251, 257, 271]"
207,242,3,1,"[251, 269, 293]"
