130,17,167,173
134,29,167,191
135,9,167,193
157,128,167,181
2,88,173,181
23,23,173,181
33,33,173,191
61,160,173,181
82,138,173,193
90,153,173,179
121,155,173,179
146,75,173,179
171,55,173,193
15,35,179,193
15,96,179,191
40,84,179,181
43,59,179,191
63,109,179,181
66,103,179,181
91,147,179,199
95,74,179,191
111,106,179,193
137,45,179,197
140,13,179,193
156,154,179,193
157,103,179,199
175,140,179,181
178,117,179,199
1,5,181,199
22,34,181,199
33,61,181,199
39,17,181,193
42,99,181,199
50,54,181,193
62,164,181,193
63,168,181,191
69,125,181,193
71,152,181,193
88,171,181,193
141,152,181,193
4,48,191,197
8,137,191,193
9,35,191,197
9,162,191,197
25,159,191,197
32,53,191,197
39,103,191,197
43,73,191,197
54,87,191,197
58,42,191,211
88,45,191,193
97,141,191,197
107,35,191,199
107,52,191,197
131,90,191,199
154,38,191,197
10,53,193,211
14,100,193,197
29,6,193,197
29,141,193,211
30,144,193,197
53,163,193,199
61,65,193,199
75,138,193,197
107,131,193,199
115,145,193,199
119,31,193,199
120,57,193,199
126,2,193,197
142,107,193,197
148,46,193,199
158,52,193,199
170,130,193,199
176,100,193,199
184,81,193,211
191,130,193,199
192,190,193,211
3,25,197,199
7,42,197,211
21,68,197,199
25,176,197,199
58,127,197,199
60,194,197,211
63,93,197,211
64,18,197,199
79,52,197,199
103,19,197,199
115,92,197,199
142,172,197,211
157,124,197,211
184,120,197,199
0,164,199,211
0,192,199,211
8,50,199,211
41,152,199,211
47,23,199,211
49,122,199,211
62,65,199,211
72,53,199,211
75,120,199,227
85,24,199,211
105,73,199,211
109,169,199,211
129,19,199,211
171,134,199,211
172,122,199,211
2,136,211,229
22,91,211,227
39,176,211,229
87,143,211,229
88,26,211,229
93,1,211,229
130,114,211,223
138,151,211,227
163,143,211,229
171,71,211,233
187,50,211,227
195,109,211,227
208,160,211,223
0,194,223,229
0,205,223,229
8,23,223,239
25,73,223,239
26,154,223,229
30,135,223,229
32,184,223,239
37,219,223,241
42,100,223,233
47,63,223,227
47,196,223,233
71,112,223,241
75,107,223,233
79,178,223,233
81,146,223,229
84,41,223,227
85,172,223,241
88,191,223,233
90,27,223,233
98,143,223,229
112,68,223,229
122,156,223,241
127,104,223,233
147,163,223,233
151,41,223,233
152,218,223,229
153,84,223,239
156,163,223,241
156,203,223,229
165,210,223,233
167,75,223,233
192,2,223,233
195,149,223,229
195,187,223,229
214,70,223,229
3,64,227,241
25,13,227,251
28,23,227,229
53,197,227,233
54,157,227,241
54,215,227,233
70,142,227,239
83,117,227,233
90,104,227,241
102,194,227,229
104,123,227,229
107,137,227,241
115,223,227,239
141,74,227,241
154,163,227,241
160,219,227,241
188,112,227,233
192,8,227,241
194,91,227,239
207,2,227,241
212,79,227,241
225,78,227,241
6,21,229,239
28,73,229,251
35,23,229,251
39,15,229,241
51,100,229,241
54,71,229,251
54,133,229,251
58,217,229,251
62,134,229,251
87,226,229,251
88,4,229,241
97,216,229,239
99,115,229,239
99,132,229,251
101,108,229,241
110,143,229,239
143,157,229,239
153,226,229,241
155,111,229,239
158,53,229,239
164,143,229,257
167,202,229,251
182,67,229,251
210,32,229,239
223,219,229,239
66,66,233,239
75,154,233,263
87,108,233,239
115,54,233,251
227,176,233,241
8,226,239,251
10,134,239,257
